,Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,wl_pct,seed,highest_teammate_vorp,highest_teammate_ws
18,1982,Larry Bird,BOS,0.588,77,38.0,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205,N,22.6,0.557,0.037,0.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,4.4,2.3,6.6,6.4,0.7682926829268293,1,3.7,10.0
19,1982,Julius Erving,PHI,0.294,81,34.4,24.4,6.9,3.9,2.0,1.7,0.546,0.273,0.763,13.3,0.229,N,25.9,0.593,0.008,0.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,8.7,4.6,6.0,1.7,7.7,6.8,0.7073170731707317,2,3.9,8.6
20,1982,Robert Parish,BOS,0.19,80,31.7,19.9,10.8,1.8,0.9,2.4,0.542,,0.71,10.0,0.19,N,22.6,0.571,0.0,0.287,12.8,24.5,18.8,8.4,1.3,4.1,13.7,25.5,5.0,5.1,2.6,1.2,3.8,3.7,0.7682926829268293,1,6.4,12.5
21,1982,Gus Williams,SEA,0.167,80,36.0,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171,N,21.8,0.526,0.025,0.274,3.6,5.5,4.6,31.0,2.9,0.7,9.9,28.5,5.9,4.3,4.1,1.0,5.1,5.2,0.6341463414634146,2,4.5,12.6
22,1982,George Gervin,SAS,0.159,79,35.7,32.3,5.0,2.4,1.0,0.6,0.5,0.278,0.864,10.7,0.182,N,24.2,0.562,0.018,0.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,8.7,2.0,5.4,-1.5,3.9,4.2,0.5853658536585366,3,2.6,5.8
23,1982,Sidney Moncrief,MIL,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216,N,20.1,0.601,0.013,0.539,8.8,11.6,10.3,18.1,2.2,0.4,13.7,21.0,8.9,4.5,3.9,0.9,4.8,5.1,0.6707317073170732,3,2.5,6.6
24,1982,Magic Johnson,LAL,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207,N,22.9,0.59,0.028,0.418,9.5,17.5,13.7,31.0,3.2,0.6,18.9,20.1,8.1,4.8,4.9,2.3,7.2,7.0,0.6951219512195121,1,4.7,10.7
25,1982,Jack Sikma,SEA,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199,N,20.6,0.559,0.011,0.432,8.2,28.0,18.5,13.1,1.6,1.9,12.9,22.5,5.9,6.7,2.2,1.7,3.9,4.5,0.6341463414634146,2,5.2,10.2
26,1982,Kareem Abdul-Jabbar,LAL,0.045,76,35.2,23.9,8.7,3.0,0.8,2.7,0.579,0.0,0.706,10.7,0.192,N,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,6.9,3.9,3.8,1.2,5.0,4.7,0.6951219512195121,1,7.0,12.9
27,1983,Moses Malone,PHI,0.96,78,37.5,24.5,15.3,1.3,1.1,2.0,0.501,0.0,0.761,15.1,0.248,Y,25.1,0.578,0.001,0.604,16.8,25.9,21.6,5.1,1.4,3.0,13.8,26.0,9.1,6.0,4.0,-0.3,3.7,4.2,0.7926829268292683,1,5.2,10.9
28,1983,Larry Bird,BOS,0.485,79,37.7,23.6,11.0,5.8,1.9,0.9,0.504,0.286,0.84,14.0,0.225,N,24.1,0.561,0.052,0.282,7.0,24.2,15.7,22.4,2.3,1.3,12.6,25.0,8.4,5.6,5.4,2.1,7.5,7.2,0.6829268292682927,2,3.9,10.8
29,1983,Magic Johnson,LAL,0.406,79,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0.0,0.8,12.5,0.207,N,23.0,0.603,0.023,0.407,8.5,17.1,13.0,34.4,2.8,0.9,21.5,19.0,8.8,3.8,5.4,1.8,7.2,6.8,0.7073170731707317,1,4.2,10.9
30,1983,Sidney Moncrief,MIL,0.301,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233,N,22.6,0.602,0.009,0.522,8.2,9.5,8.9,16.9,2.0,0.5,12.2,24.7,9.7,3.5,5.1,0.4,5.4,5.1,0.6219512195121951,3,4.7,10.7
31,1983,Julius Erving,PHI,0.149,72,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217,N,23.1,0.566,0.006,0.372,7.9,13.3,10.7,16.5,2.2,3.0,12.6,25.5,6.8,4.1,4.6,1.9,6.5,5.2,0.7926829268292683,1,4.2,15.1
32,1983,Alex English,DEN,0.056,82,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166,N,24.1,0.561,0.006,0.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,8.7,1.6,5.4,-0.8,4.6,5.0,0.5487804878048781,6,3.2,11.0
33,1983,Buck Williams,NJN,0.053,82,36.1,17.0,12.5,1.5,1.1,1.3,0.588,0.0,0.62,11.4,0.185,N,18.6,0.611,0.004,0.573,14.1,25.0,19.6,5.9,1.4,2.2,17.7,18.4,5.5,5.9,1.6,0.4,2.0,3.0,0.5975609756097561,4,2.4,6.0
34,1983,Artis Gilmore,SAS,0.044,82,34.1,18.0,12.0,1.5,0.5,2.3,0.626,0.0,0.74,11.0,0.189,N,21.2,0.668,0.007,0.559,12.1,25.8,19.2,6.1,0.7,3.7,18.7,19.4,7.5,3.5,2.7,0.2,2.8,3.4,0.6463414634146342,2,3.2,9.4
35,1983,George Gervin,SAS,0.04,78,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159,N,20.5,0.561,0.021,0.39,4.4,9.1,6.9,14.0,1.4,1.3,12.0,29.1,7.6,1.8,2.9,-1.1,1.8,2.7,0.6463414634146342,2,3.4,11.0
36,1983,Kareem Abdul-Jabbar,LAL,0.02,79,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0.0,0.749,10.9,0.205,N,23.6,0.619,0.002,0.302,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,8.0,2.9,4.0,0.5,4.5,4.2,0.7073170731707317,1,6.8,12.5
37,1984,Larry Bird,BOS,0.858,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,Y,24.2,0.552,0.047,0.273,7.0,22.3,14.9,26.2,2.3,1.3,12.1,26.7,7.9,5.6,5.6,2.0,7.6,7.3,0.7560975609756098,1,2.8,10.5
